name,address,province,city,area,telephone,tag
余音古筝坊,广东省广州市黄埔区福南坊大街4号,广东省,广州市,黄埔区,,教育培训;培训机构
云梦古筝工作室,广东省广州市白云区南区二街121号,广东省,广州市,白云区,17819748868,教育培训;培训机构
秦筝坊古筝培训中心,广东省广州市白云区汇侨路1号2006室,广东省,广州市,白云区,13265991434,教育培训;培训机构
秦汉胡同书法围棋国画古筝书院(江南西分馆),广东省广州市海珠区江南西路113号中国石油南方大厦四楼,广东省,广州市,海珠区,,教育培训;培训机构
广州敦煌古筝专卖店(筝好旗舰店),广东省广州市越秀区水荫路57号嘉富广场嘉兴楼16号首层,广东省,广州市,越秀区,(020)37586495,购物;商铺
宁雪古筝音乐空间,广东省广州市越秀区西湖路18号广百新翼大厦20楼2018室,广东省,广州市,越秀区,"18122110771,18122115107",教育培训;培训机构
心乐古筝,广东省广州市黄埔区青年路204号,广东省,广州市,黄埔区,,教育培训;培训机构
博衍古筝(光明校区),广东省广州市增城区光明西路58号2楼,广东省,广州市,增城区,,教育培训;培训机构
小西古筝,广东省广州市天河区大岗路10号,广东省,广州市,天河区,13202029294,教育培训;培训机构
君君古筝培训,广东省广州市增城区友谊路18号汇美3楼,广东省,广州市,增城区,13600074338,教育培训;培训机构
潮韵古筝私塾,广州市白云区九龙迎宾路九龙花园,广东省,广州市,白云区,,教育培训;培训机构
钟磬古筝(敏捷上品公馆店),广东省广州市番禺区新骏二街31号广地花园一期e2-1号,广东省,广州市,番禺区,,教育培训;培训机构
芊艺古筝,广东省广州市增城区新惠路135号南山丰景一期商铺2层,广东省,广州市,增城区,13527893335,教育培训;培训机构
筝心苑古筝会馆,广东省广州市番禺区万兴一路2号,广东省,广州市,番禺区,13423607180,教育培训;培训机构
东方古筝艺术学苑(越秀盘福校区),广东省广州市越秀区解放北路863号盘福大厦15楼,广东省,广州市,越秀区,,教育培训;培训机构
无筝国乐二胡古筝中阮琵琶专业教学培训(海珠客村店),"广东省广州市海珠区新港中路354号26栋105号(珠影星光城后身,八合里牛肉火锅小区直走)",广东省,广州市,海珠区,13318769549,教育培训;培训机构
品弦古筝,广东省广州市天河区华景路165号创富园213-214铺,广东省,广州市,天河区,19898248196,教育培训;培训机构
妙音古筝(钟福广场店),广东省广州市番禺区市广路8号,广东省,广州市,番禺区,13392145625,教育培训;培训机构
悦筝阁古筝艺术工作室,广东省广州市黄埔区康富路佳兆业城市广场5b101,广东省,广州市,黄埔区,18850573316,教育培训;培训机构
北笙国乐馆琵琶笛箫葫芦丝二胡古筝培训,环市大道中27号万达公寓B6栋2106-2108室,广东省,广州市,南沙区,19128283400,教育培训;培训机构
锦绣琴馆专注古筝琵琶二胡中阮笛子洞箫乐器培训,广东省广州市天河区平逸街2号珠光新城御景一期（潭村地铁B出口50米）,广东省,广州市,天河区,15989082716,教育培训;培训机构
静雅古筝工作室(岗顶店),广东省广州市天河区天河路百脑汇C座811号,广东省,广州市,天河区,18665625482,教育培训;培训机构
一木古筝苑,广州市番禺区沙滘西路洛浦上漖小学西南侧约40米,广东省,广州市,番禺区,13531711169,教育培训;培训机构
真然古筝琴行(市二宫店),广东省广州市海珠区江南大道中100号,广东省,广州市,海珠区,"15913172928,18565549903",购物;商铺
敦煌乐器·敦煌古筝零售批发经销琴行,体育西路50号-4首层(体育西路地铁站H口旁),广东省,广州市,天河区,15692001575,购物;商铺
东方古筝艺术学院(石牌校区),广东省广州市天河区天河东路220号嘉宝华庭B座南塔19层1904室,广东省,广州市,天河区,13229467386,教育培训;培训机构
国乐一号琴筝馆(广州敦煌古筝专卖店),广东省广州市天河区体育西路5号骏汇大厦南座1层,广东省,广州市,天河区,13925181900,购物;商铺
筝好国乐馆(广州市敦煌古筝专卖店),广东省广州市荔湾区金花街道荔湾路78号新景城大厦3层304室,广东省,广州市,荔湾区,020-81716009,教育培训;培训机构
君韵国乐馆(古筝体验店),广东省广州市增城区新保大道133号,广东省,广州市,增城区,13570344198,教育培训;培训机构
