name,address,province,city,area,telephone,tag
青桐树舞蹈美育,广东省广州市番禺区钟韵路1号钟福广场F2,广东省,广州市,番禺区,,运动健身;其他
Diamondfreak戴盟飞舞蹈室,广东省广州市越秀区农林街道中山二路5号粤运大厦后座4楼,广东省,广州市,越秀区,(020)37667686,教育培训;培训机构
魔宫舞蹈工作室(车陂店),广东广州市天河区车陂路318号美景花苑北院2楼3102室,广东省,广州市,天河区,,运动健身;健身中心
朱丽叶芭蕾舞蹈艺术,广东省广州市花都区曙光路49号优儿教育城3楼,广东省,广州市,花都区,18565458858,运动健身;其他
此刻芭蕾(珠江新城店),广东省广州市天河区华就路12号三银大厦706号,广东省,广州市,天河区,15918874225,教育培训;培训机构
火玫瑰舞蹈培训中心,广东省广州市天河区华景路165号创富园一期2楼204号(近华景路招商银行),广东省,广州市,天河区,(020)38208760,教育培训;培训机构
华翎舞蹈(花都校区),广东省广州市花都区秀全大道太子歩行街16号2楼,广东省,广州市,花都区,"13822143165,18218447646",运动健身;其他
大禧舞蹈,广东省广州市海珠区同福东路538号福兴大厦二楼201室（老百姓大药房楼上）,广东省,广州市,海珠区,"(020)34248846,15920134501",运动健身;其他
US舞蹈,广东省广州市白云区黄石西路马务大街3号,广东省,广州市,白云区,18428308917,运动健身;健身中心
广州020舞蹈工作室,广州市越秀区西湖路12号广百百货商务楼1703A（1704-1706）,广东省,广州市,越秀区,13026889333,运动健身;其他
JS舞蹈连锁(增城店),广东省广州市增城区园圃路16号4楼,广东省,广州市,增城区,13537002006,运动健身;其他
AT58舞蹈工作室(石牌桥华龙大厦),广东省广州市天河区天河中心天河路238号华龙大厦19层1905室,广东省,广州市,天河区,19902279896,运动健身;健身中心
FB舞蹈工作室(华师店),广东省广州市天河区天河北路908高科大厦B座十二楼1201室（华师地铁站B出口）,广东省,广州市,天河区,16620002564,运动健身;其他
RT逆时光舞蹈(东平店),白云区东平北路88号,广东省,广州市,白云区,,教育培训;培训机构
威蒂斯舞蹈游泳瑜伽(粤垦路分店),广东省广州市天河区五山街道东莞庄路2号鸿德国际酒店F5,广东省,广州市,天河区,(020)85269621,运动健身;健身中心
广州龙之韵舞蹈有限公司番禺分公司,广州市番禺区石楼镇兴亚大道33号亚运城综合体育馆纪念馆A区：a01/a02/a03/a04/a05/a06功能房场地,广东省,广州市,番禺区,,运动健身;其他
薇茉芭蕾,广东省广州市海珠区南华中路299号亿海商务中心2楼202室,广东省,广州市,海珠区,13710611230,运动健身;其他
拇迹尊巴MoreDreamZumLand,广东省广州市越秀区环市东路370号正佳东方国际9楼915室,广东省,广州市,越秀区,18520294407,运动健身;其他
唯舞空间(琶洲店),广东省广州市海珠区新港东路琶洲新村11栋2101室,广东省,广州市,海珠区,18011835246,运动健身;其他
云儿朵朵舞蹈B3区(融创店),广东省广州市花都区叶榕街1之6号广州融创雪域华府b3区1-7商铺,广东省,广州市,花都区,15626170360,运动健身;其他
胡杨舞蹈(东坑店),广东省广州市增城区东坑三横路42号,广东省,广州市,增城区,13267278692,运动健身;其他
纽漫芭蕾(珠江新城校区),珠江新城华就路12号三银大厦902,广东省,广州市,天河区,18054227268,运动健身;其他
