name,address,province,city,area,telephone,tag
W街区工作室(吉大店),广东省珠海市香洲区吉大街道海滨南路9号荣正力邦LOFT文创园a栋6楼6026号（GI时代广场，音乐匣子KTV附近）,广东省,珠海市,香洲区,19820514308,运动健身;其他
灵子舞蹈全国连锁(香洲百货店),广东省珠海市香洲区凤凰南路香洲百货3楼,广东省,珠海市,香洲区,,运动健身;其他
优学季(AHA亚哈启圆横琴金源国际广场店),广东省珠海市香洲区新香江路88号金源国际广场1栋三楼,广东省,珠海市,香洲区,"13570665597,13612235995",运动健身;其他
高师芭蕾文化传播中心,广东省珠海市香洲区前河西路333号8栋负一楼03铺,广东省,珠海市,香洲区,15918778554,教育培训;培训机构
官官舞蹈俱乐部,广东省珠海市斗门区白藤二路新俊湖苑西侧约110米,广东省,珠海市,斗门区,13427789146,运动健身;其他
朱朱舞蹈坊,广东省珠海市斗门区虹桥三路时代倾城三期G-11区41号商铺,广东省,珠海市,斗门区,13160661715,教育培训;培训机构
轻舞飞扬舞蹈培训中心(敬业路店),广东省珠海市香洲区敬业路146-1号,广东省,珠海市,香洲区,(0756)8613367,教育培训;培训机构
清影舞蹈工作室(前山店),广东省珠海市香洲区翠微西路779号（艺术高中公交站）,广东省,珠海市,香洲区,13360610086,教育培训;培训机构
水灵子舞蹈培训机构(井岸分校),广东省珠海市香洲区中兴中路243号井岸大厦二楼（大信新都汇斜对面）,广东省,珠海市,斗门区,15220902095,教育培训;培训机构
娜飞舞蹈,广东省珠海市香洲区拱北粤海中路2610号商铺,广东省,珠海市,香洲区,13620478318,教育培训;培训机构
一橙舞蹈艺术中心(世荣作品壹号店),广东省珠海市斗门区X583(珠峰大道),广东省,珠海市,斗门区,13532280550,教育培训;培训机构
杰出舞蹈(人民东路),广东省珠海市香洲区人民东路372号2楼,广东省,珠海市,香洲区,(0756)2265992,教育培训;培训机构
雅歌舞蹈艺术学校,广东省珠海市香洲区白莲路184号立体科技大厦F1 ,广东省,珠海市,香洲区,(0756)3377797,教育培训;培训机构
琴之韵舞蹈,广东省珠海市香洲区南福路114-3号,广东省,珠海市,香洲区,13622969592,教育培训;培训机构
米乐舞蹈艺术中心,广东省珠海市香洲区翠前北路一街133号苹果派1层,广东省,珠海市,香洲区,18923379743,教育培训;培训机构
佳美舞蹈艺术培训中心,广东省珠海市香洲区紫荆路106-130号南夏广场2层,广东省,珠海市,香洲区,13536553257,教育培训;培训机构
花漾舞蹈艺术中心,广东省珠海市斗门区尖峰前路330号3层,广东省,珠海市,斗门区,(0756)5552121,教育培训;培训机构
塔比鸭舞蹈中心,珠海市斗门区新青五路南碧水岸西南侧约30米,广东省,珠海市,斗门区,15007561976,教育培训;培训机构
妍舞舞蹈工作室,珠海市香洲区创业路御景国际,广东省,珠海市,香洲区,,教育培训;培训机构
尚舞堂舞蹈艺术培训中心,广东省珠海市香洲区翠珠路1号晴川商厦F2 ,广东省,珠海市,香洲区,(0756)8996265,教育培训;培训机构
新星中英文艺术幼儿园新星舞蹈团(粤海西路),广东省珠海市香洲区粤海西路17号明珠山庄小区,广东省,珠海市,香洲区,(0756)8525829,教育培训;其他
清扬舞蹈,广东省珠海市香洲区白云路1号（造贝小学东南门对面）,广东省,珠海市,香洲区,15919161161,教育培训;培训机构
红河谷舞蹈艺术中心,广东省珠海市香洲区梅华西路2100号绿怡居小区78栋,广东省,珠海市,香洲区,,教育培训;培训机构
艺阳舞蹈,广东省珠海市斗门区朝江路30号美澳园3区1号,广东省,珠海市,斗门区,(0756)5311777,教育培训;培训机构
世纪舞者芭蕾舞蹈培训中心,广东省珠海市香洲区金山二巷7号左右创意园2栋1楼25号,广东省,珠海市,香洲区,13411564973,教育培训;培训机构
A+艺多艺术中心,广东省珠海市斗门区金坑中路19号东盛百货楼2层,广东省,珠海市,斗门区,(0756)5508066,教育培训;培训机构
水韵舞蹈艺术培训中心,珠海市斗门区安江路莲溪中学东南侧约60米,广东省,珠海市,斗门区,,教育培训;培训机构
艺潼舞蹈,广东省珠海市香洲区工北街界涌市场,广东省,珠海市,香洲区,13113185526,教育培训;培训机构
艺昇舞蹈培训中心,广东省珠海市斗门区井岸镇井湾路113号三友智创谷B座二楼,广东省,珠海市,斗门区,15977783789,教育培训;培训机构
冰与火舞蹈(珠海红旗分部),广东省珠海市金湾区藤荣路84、86号(澜庭丽舍),广东省,珠海市,金湾区,15307561322,教育培训;培训机构
珠海小百合舞蹈,广东省珠海市香洲区鸿新街69号,广东省,珠海市,香洲区,18933204237,教育培训;培训机构
雨轩舞蹈,广东省珠海市香洲区夏湾路280号春泽名园商铺2层,广东省,珠海市,香洲区,(0756)8888778,教育培训;培训机构
