name,address,province,city,area,telephone,tag
异鸣教育语言艺术小主持口才朗诵(南洋店),广东省广州市花都区三东大道2-2号南洋科技大厦2楼,广东省,广州市,花都区,(020)39477786,教育培训;培训机构
新声线少儿口才(番禺校区),广东省广州市番禺区粤华路22号百佳商务中心2楼,广东省,广州市,番禺区,13533261819,教育培训;培训机构
新励成演讲口才培训(广州总部),广东省广州市海珠区沥滘路368号广州之窗商务港14楼03-08单元,广东省,广州市,海珠区,,教育培训;培训机构
艺加语言成长教育中心(广州总部),广东省广州市越秀区环市东路339号广东国际大厦裙楼三楼306室,广东省,广州市,越秀区,4008802103,教育培训;培训机构
少儿模特少儿口才影视表演形体礼仪,广州市增城区新惠路南山丰景花园,广东省,广州市,增城区,,教育培训;培训机构
口才宝语商乐园(海珠校区),广东省广州市海珠区南洲路88号盛景家园拜庭公寓2期二楼231铺,广东省,广州市,海珠区,"13533553418,18620240121",教育培训;培训机构
文瀛学堂快板曲艺口才班,广州市白云区大源中路OYO今日酒店西侧约40米,广东省,广州市,白云区,13168831962,教育培训;培训机构
蓝天使星童口才,广东广州市增城区陈家林路235号,广东省,广州市,增城区,,教育培训;培训机构
马振鑫演讲广州市新演讲口才教育,广东省广州市海珠区昌岗中路166-3号富盈国际大厦2116号,广东省,广州市,海珠区,13873257266,教育培训;培训机构
马振鑫演讲·广州市新演讲口才教育,韦海路万科世博汇A4-2214号,广东省,广州市,番禺区,13873257266,教育培训;培训机构
鹿语鱼口才世界,广东省广州市番禺区国泰路同创誉城3栋16号,广东省,广州市,番禺区,19924755923,教育培训;培训机构
口才宝语商乐园·语言艺术·主持·快板培训(天河校区),中山大道西8号天河商贸大厦10楼1003A(麦当劳旁、学而思楼上),广东省,广州市,天河区,"15627861398,18588886331",教育培训;培训机构
