name,address,province,city,area,telephone,tag
国韵古筝书法,广东省珠海市香洲区同华路37号商铺,广东省,珠海市,香洲区,13702311853,教育培训;培训机构
百家筝鸣古筝艺术中心,广东省珠海市香洲区柠溪路282号天邦大厦F2,广东省,珠海市,香洲区,"(0756)2288950,13532256662",教育培训;培训机构
聚星古筝,广东省珠海市斗门区井湾路347号时尚新苑2栋109,广东省,珠海市,斗门区,"(0756)5119638,13750073737",教育培训;培训机构
迎筝坊古筝(斗门店),广东省珠海市斗门区斗门镇兴门路1号二楼左边,广东省,珠海市,斗门区,18590142010,教育培训;培训机构
李老师古筝艺术中心(南村分店),广东省珠海市香洲区同华路45号,广东省,珠海市,香洲区,13411452919,教育培训;培训机构
筝情筝意古筝工作室,广东省珠海市斗门区白藤街道七路237号,广东省,珠海市,斗门区,13824166490,教育培训;培训机构
筝韵古筝艺术培训,珠海市斗门区贵乾路新堂城市商业广场西侧约50米,广东省,珠海市,斗门区,15916301168,教育培训;培训机构
炫中古筝专卖店,珠海市香洲区永安三巷16号,广东省,珠海市,香洲区,13527272936,购物;商铺
墨子古筝工作室,广东省珠海市香洲区富柠街85号,广东省,珠海市,香洲区,13431907231,教育培训;培训机构
古筝文化艺术中心,珠海市金湾区文华路梅雁大厦,广东省,珠海市,金湾区,13727897167,教育培训;培训机构
茶音阁茶艺古筝交流中心,井岸镇珠峰大道288号五区13栋215号,广东省,珠海市,斗门区,,教育培训
珠海市古筝协会,珠海市香洲区翠仙街19号盛和苑1层,广东省,珠海市,香洲区,,政府机构;社会团体
